nmi,batteryCapacityKWh,batteryMaxPowerKW
70013143038,5.1,3
70011127653,5.1,3
70013135927,5.1,3
7001318400,5.1,3
70012500157,5.1,3
70010566415,5.1,3
70010814400,5.1,3
70011725811,5.1,3
70010420091,5.1,3
70010621870,5.1,3
70010805423,5.1,3
70010693729,5.1,3
70011034833,10.2,3
70010916493,5.1,3
70010783019,5.1,3
70010083139,5.1,3
70011913670,5.1,3
70011019827,5.1,3
70011461473,5.1,3
70011486173,5.1,3
70010860493,5.1,3
70010627315,5.1,3
70012010199,5.1,3
70011423183,5.1,3
70010958313,5.1,3
70011547117,5.1,3
70010017146,5.1,3
70010894558,5.1,3
70011638311,5.1,3
70010673128,5.1,3
70010906494,5.1,3
70013151158,5.1,3
70010369295,5.1,3
70011454022,5.1,3
70010371988,5.1,3
70011869442,5.1,3
70010119810,5.1,3
70011114743,5.1,3
70013184486,5.1,3
70010352763,5.1,3
70010780511,5.1,3
70010775336,5.1,3
70010351691,5.1,3
7001060279,10.2,3
70010850131,5.1,3
70010554179,5.1,3
70013322936,10.2,3
70011708781,5.1,3
70013340107,5.1,3
70011979837,5.1,3
70011113614,5.1,3
70013176187,10,5
70010684983,5.1,3
70011835569,5.1,3
70013136321,5.1,3
70010779569,5.1,3
70010575142,5.1,3
70010621441,5.1,3
70010560482,5.1,3
70010849165,5.1,3
70010143867,5.1,3
70011046763,5.1,3
70011775590,5.1,3
70011573095,5.1,3
70011676089,5.1,3
70010612516,5.1,3
70010626639,5.1,3
70010463882,5.1,3
70011659183,5.1,3
70010446433,5.1,3
70013003331,5.1,3
70010718964,5.1,3
70013322290,5.1,3
70010952934,5.1,3
70011064162,5.1,3
70010021882,10.2,3
70010169862,10.2,3
70010983889,5.1,3
70011809720,5.1,3
70013010841,5.1,3
7001352760,10,2.8672
70013466635,0,2.8672
70013498975,0,2.8672
70011778635,13.5,5
70011977510,13.5,5
70010384261,13.5,5
70010907179,13.5,5
70010477593,14,5
70013527214,13.5,5
70010165746,13.5,5
70010761108,9.6,5
70010391598,10,5
7001352855,0,2.8672
7001350594,0,2.8672
7001350034,0,2.8672
70010120867,12.8,5
70011066448,12.8,5
7001086694,9.6,5
70011550938,12.8,5
7001350160,0,2.8672
7001351474,6,2.8672
70010873387,16,5
70010032978,15,5
7001352884,0,2.8672
70010361064,13.5,5
7001061683,13.5,5
70011969466,9.6,5
70010463603,12.8,5
70011545466,16,5
70010936046,16,5
70011048981,9.6,5
70010586157,9.6,5
70010351840,9.6,5
70013444137,9.6,5
70011676188,13.3,2.8672
70011703791,10.1,5
421961278,13.3,5
7001069106,13.2,5
7001322781,13.3,5
70010636844,10.3,5
70010223510,10.1,5
70013315099,10.1,2.8672
70013501392,16,5
70010987484,10,5
7001344615,27,5
70011998169,9.6,5
70013294755,9.6,5
7001064414,1.93,2.8672
70010807818,10,5
